         2762537 function calls (2635549 primitive calls) in 5.148 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.003    0.003    5.148    5.148 /Users/fkauker/Documents/code/test_data/solve.py:55(main)
        1    0.003    0.003    4.963    4.963 /Users/fkauker/Documents/code/link/link/solve/main.py:41(run_pmed)
        1    0.097    0.097    3.415    3.415 /Users/fkauker/Documents/code/link/link/solve/util.py:108(make_assi_graph)
      457    0.628    0.001    2.151    0.005 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/topology/__init__.py:1849(shortest_path)
      458    0.781    0.002    1.030    0.002 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/topology/__init__.py:1591(shortest_distance)
    46257    0.791    0.000    0.791    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:1768(vertex)
        1    0.082    0.082    0.675    0.675 /Users/fkauker/Documents/code/link/link/solve/util.py:334(assi_to_path)
    68074    0.489    0.000    0.535    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:441(__getitem__)
        1    0.024    0.024    0.445    0.445 /Users/fkauker/Documents/code/link/link/solve/util.py:26(geojson_to_graph)
        3    0.024    0.008    0.308    0.103 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:422(add_edges_from)
    30650    0.137    0.000    0.308    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/coords.py:69(__getitem__)
        1    0.018    0.018    0.250    0.250 /Users/fkauker/Documents/code/link/link/solve/nx2gt.py:35(nx2gt)
        1    0.000    0.000    0.213    0.213 /Users/fkauker/Documents/code/link/link/solve/util.py:76(<listcomp>)
        2    0.000    0.000    0.213    0.106 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/algorithms/components/connected.py:78(connected_component_subgraphs)
        1    0.000    0.000    0.209    0.209 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:864(copy)
        1    0.007    0.007    0.208    0.208 /Users/fkauker/Documents/code/link/link/solve/util.py:301(make_o_graph)
      458    0.001    0.000    0.182    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/decorators.py:1(copy_property)
  931/463    0.005    0.000    0.182    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/decorators.py:126(wrapper)
    23295    0.016    0.000    0.179    0.000 /anaconda3/envs/link/lib/python3.6/_collections_abc.py:742(__iter__)
     2753    0.006    0.000    0.176    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:947(<genexpr>)
    30650    0.028    0.000    0.174    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/base.py:320(_get_coords)
      458    0.098    0.000    0.171    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:2367(copy_property)
     2752    0.059    0.000    0.152    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:2049(add_edge)
        1    0.000    0.000    0.152    0.152 /Users/fkauker/Documents/code/link/link/solve/util.py:176(make_tb_objects)
        9    0.000    0.000    0.143    0.016 /anaconda3/envs/link/lib/python3.6/site-packages/rpy2/robjects/functions.py:171(__call__)
        9    0.142    0.016    0.143    0.016 /anaconda3/envs/link/lib/python3.6/site-packages/rpy2/robjects/functions.py:101(__call__)
    30650    0.047    0.000    0.139    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/base.py:640(is_empty)
     4108    0.004    0.000    0.134    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:356(__iter__)
    16641    0.012    0.000    0.127    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/linestring.py:29(__init__)
     4108    0.127    0.000    0.127    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:358(<genexpr>)
    16641    0.017    0.000    0.115    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/linestring.py:95(_set_coords)
    30650    0.056    0.000    0.106    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/coords.py:48(__len__)
      457    0.001    0.000    0.105    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/pandas/core/indexing.py:1463(__getitem__)
      457    0.002    0.000    0.104    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/pandas/core/indexing.py:1854(_getitem_axis)
        1    0.013    0.013    0.101    0.101 /anaconda3/envs/link/lib/python3.6/json/__init__.py:120(dump)
    61300    0.090    0.000    0.098    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/coords.py:44(_update)
        1    0.000    0.000    0.081    0.081 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:953(to_directed)
    30650    0.055    0.000    0.080    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/predicates.py:23(__call__)
      920    0.007    0.000    0.079    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/pandas/core/series.py:166(__init__)
    46476    0.008    0.000    0.078    0.000 /anaconda3/envs/link/lib/python3.6/json/encoder.py:412(_iterencode)
        1    0.000    0.000    0.075    0.075 /anaconda3/envs/link/lib/python3.6/json/__init__.py:274(load)
      457    0.001    0.000    0.075    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/pandas/core/indexing.py:124(_get_label)
      457    0.005    0.000    0.074    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/pandas/core/generic.py:2893(xs)
        1    0.000    0.000    0.074    0.074 /anaconda3/envs/link/lib/python3.6/json/__init__.py:302(loads)
        1    0.000    0.000    0.074    0.074 /anaconda3/envs/link/lib/python3.6/json/decoder.py:334(decode)
        1    0.074    0.074    0.074    0.074 /anaconda3/envs/link/lib/python3.6/json/decoder.py:345(raw_decode)
    16641    0.052    0.000    0.074    0.000 {shapely.speedups._speedups.geos_linestring_from_py}
124418/46476    0.033    0.000    0.070    0.000 /anaconda3/envs/link/lib/python3.6/json/encoder.py:333(_iterencode_dict)
33534/8218    0.032    0.000    0.068    0.000 /anaconda3/envs/link/lib/python3.6/copy.py:132(deepcopy)
    13889    0.022    0.000    0.067    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/graph.py:823(add_edge)
        1    0.000    0.000    0.063    0.063 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multidigraph.py:864(to_undirected)
62950/46468    0.020    0.000    0.062    0.000 /anaconda3/envs/link/lib/python3.6/json/encoder.py:277(_iterencode_list)
    57411    0.021    0.000    0.051    0.000 {method 'update' of 'dict' objects}
      916    0.008    0.000    0.051    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:3093(__init__)
    44605    0.051    0.000    0.051    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:3250(_v_eq)
144306/143400    0.030    0.000    0.051    0.000 {built-in method builtins.isinstance}
    73098    0.035    0.000    0.049    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:405(__key_trans)
     8218    0.012    0.000    0.046    0.000 /anaconda3/envs/link/lib/python3.6/copy.py:236(_deepcopy_dict)
    54322    0.043    0.000    0.043    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/base.py:222(empty)
     5024    0.036    0.000    0.040    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:459(__setitem__)
    43343    0.029    0.000    0.038    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/graph.py:628(nodes)
     2753    0.006    0.000    0.038    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:1002(<genexpr>)
    16498    0.008    0.000    0.038    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/base.py:233(__del__)
      928    0.004    0.000    0.038    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/pandas/core/series.py:4019(_sanitize_array)
      917    0.010    0.000    0.034    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:1544(__init__)
        1    0.004    0.004    0.034    0.034 /Users/fkauker/Documents/code/link/link/solve/util.py:256(create_geojson)
     2755    0.009    0.000    0.034    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:383(__init__)
      920    0.010    0.000    0.032    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:2308(new_vertex_property)
        1    0.000    0.000    0.032    0.032 /Users/fkauker/Documents/code/link/link/solve/pmed.py:9(solve)
     1371    0.003    0.000    0.031    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/pandas/core/series.py:764(__getitem__)
      458    0.001    0.000    0.028    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/pandas/core/frame.py:730(iterrows)
     1371    0.005    0.000    0.027    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/pandas/core/indexes/base.py:3090(get_value)
      922    0.002    0.000    0.026    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/pandas/core/series.py:4036(_try_cast)
        2    0.005    0.003    0.026    0.013 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/graph.py:487(add_nodes_from)
     3205    0.007    0.000    0.026    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:166(_prop)
     2271    0.002    0.000    0.024    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/point.py:37(__init__)
     1356    0.024    0.000    0.024    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:1948(add_vertex)
     8256    0.019    0.000    0.024    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multidigraph.py:337(add_edge)
        1    0.006    0.006    0.024    0.024 /Users/fkauker/Documents/code/link/link/solve/util.py:81(make_prox_graph)
     2271    0.003    0.000    0.022    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/point.py:127(_set_coords)
   153708    0.022    0.000    0.022    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/base.py:253(_geom)
     2753    0.003    0.000    0.022    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multidigraph.py:928(<genexpr>)
    58037    0.022    0.000    0.022    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:2593(is_directed)
    18912    0.014    0.000    0.020    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/base.py:257(_geom)
     8256    0.007    0.000    0.020    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/graph.py:416(__getitem__)
        1    0.003    0.003    0.019    0.019 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/digraph.py:421(add_nodes_from)
    40296    0.019    0.000    0.019    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:3322(_edge_iter)
    13889    0.018    0.000    0.018    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:3256(_v_ne)
     1828    0.001    0.000    0.018    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:560(get_array)
      457    0.002    0.000    0.018    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/pandas/core/indexing.py:1762(_validate_key)
     1828    0.008    0.000    0.017    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:582(_get_data)
    30650    0.012    0.000    0.016    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/topology.py:16(_validate)
     1377    0.002    0.000    0.016    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/pandas/core/generic.py:4362(__getattr__)
      920    0.002    0.000    0.016    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/pandas/core/internals.py:4639(__init__)
     1357    0.001    0.000    0.016    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multidigraph.py:920(<genexpr>)
    74/32    0.000    0.000    0.016    0.000 /anaconda3/envs/link/lib/python3.6/functools.py:802(wrapper)
    81345    0.016    0.000    0.016    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:548(key_type)
     1357    0.001    0.000    0.016    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:1001(<genexpr>)
     2271    0.013    0.000    0.015    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/point.py:191(geos_point_from_py)
     2768    0.004    0.000    0.015    0.000 /anaconda3/envs/link/lib/python3.6/abc.py:180(__instancecheck__)
    98158    0.015    0.000    0.015    0.000 {method 'get' of 'dict' objects}
      458    0.000    0.000    0.015    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:2293(new_property)
     3205    0.008    0.000    0.015    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:393(_get_any)
      926    0.002    0.000    0.015    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/pandas/core/internals.py:3191(make_block)
     2755    0.005    0.000    0.013    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:270(_converter)
     8259    0.010    0.000    0.012    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/reportviews.py:805(<genexpr>)
    93448    0.012    0.000    0.012    0.000 {built-in method _ctypes.byref}
11651/10883    0.004    0.000    0.011    0.000 {built-in method builtins.issubclass}
     3677    0.006    0.000    0.011    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:208(_type_alias)
        4    0.000    0.000    0.011    0.003 /anaconda3/envs/link/lib/python3.6/site-packages/rpy2/robjects/pandas2ri.py:57(py2ri_pandasdataframe)
32805/28659    0.008    0.000    0.011    0.000 {built-in method builtins.len}
      922    0.004    0.000    0.010    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/pandas/core/dtypes/cast.py:853(maybe_castable)
     5504    0.008    0.000    0.010    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:331(add_edge)
    16040    0.007    0.000    0.010    0.000 {built-in method builtins.getattr}
     2310    0.001    0.000    0.010    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/pandas/core/dtypes/inference.py:251(is_list_like)
    26864    0.010    0.000    0.010    0.000 {method 'insert' of 'list' objects}
    43343    0.009    0.000    0.009    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/reportviews.py:167(__init__)
    46476    0.009    0.000    0.009    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        5    0.000    0.000    0.009    0.002 /anaconda3/envs/link/lib/python3.6/site-packages/pandas/core/frame.py:334(__init__)
        4    0.000    0.000    0.009    0.002 /anaconda3/envs/link/lib/python3.6/site-packages/pandas/core/frame.py:426(_init_dict)
     8256    0.006    0.000    0.009    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:389(edge_ok)
      457    0.001    0.000    0.009    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/pandas/core/indexing.py:255(_convert_scalar_indexer)
    77606    0.008    0.000    0.008    0.000 {built-in method builtins.id}
2756/2755    0.002    0.000    0.008    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:231(_python_type)
    43332    0.008    0.000    0.008    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/reportviews.py:177(__getitem__)
     2755    0.002    0.000    0.008    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:438(__del__)
      457    0.001    0.000    0.008    0.000 {method 'max' of 'numpy.ndarray' objects}
    475/4    0.003    0.000    0.008    0.002 /anaconda3/envs/link/lib/python3.6/abc.py:196(__subclasscheck__)
      457    0.001    0.000    0.008    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:662(<lambda>)
     2755    0.007    0.000    0.008    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:428(__register_map)
     1828    0.003    0.000    0.008    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/pandas/core/indexes/base.py:1647(_convert_scalar_indexer)
     1828    0.003    0.000    0.008    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:914(__new__)
        1    0.000    0.000    0.008    0.008 /Users/fkauker/Documents/code/link/link/solve/util.py:185(<listcomp>)
     8218    0.006    0.000    0.008    0.000 /anaconda3/envs/link/lib/python3.6/copy.py:252(_keep_alive)
     4615    0.008    0.000    0.008    0.000 {built-in method numpy.array}
        1    0.000    0.000    0.008    0.008 /Users/fkauker/Documents/code/link/link/solve/util.py:186(<listcomp>)
     5504    0.002    0.000    0.008    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:372(new_node_ok)
    10968    0.006    0.000    0.008    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:102(__getitem__)
      457    0.000    0.000    0.007    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/numpy/core/_methods.py:26(_amax)
      457    0.004    0.000    0.007    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:615(__get_set_f_array)
     1847    0.004    0.000    0.007    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/pandas/core/generic.py:4378(__setattr__)
     2742    0.003    0.000    0.007    0.000 {pandas._libs.lib.values_from_object}
      467    0.002    0.000    0.007    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/pandas/core/dtypes/cast.py:971(maybe_cast_to_datetime)
      458    0.001    0.000    0.007    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/point.py:53(x)
      458    0.001    0.000    0.007    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/point.py:58(y)
      463    0.007    0.000    0.007    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    30650    0.007    0.000    0.007    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/coords.py:41(__init__)
     1396    0.002    0.000    0.007    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/numpy/core/numerictypes.py:365(issubdtype)
     2313    0.001    0.000    0.007    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/numpy/core/numeric.py:469(asarray)
        5    0.000    0.000    0.007    0.001 /anaconda3/envs/link/lib/python3.6/site-packages/pandas/core/frame.py:7349(_arrays_to_mgr)
      914    0.005    0.000    0.007    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/pandas/core/dtypes/common.py:1965(pandas_dtype)
    11008    0.005    0.000    0.007    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:81(__getitem__)
    30650    0.007    0.000    0.007    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/impl.py:56(__getitem__)
      934    0.002    0.000    0.007    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/pandas/core/internals.py:3148(get_block_type)
     2755    0.006    0.000    0.006    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:433(__unregister_map)
     4108    0.003    0.000    0.006    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:296(__getitem__)
      926    0.002    0.000    0.006    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/pandas/core/internals.py:116(__init__)
     7918    0.003    0.000    0.006    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/pandas/core/dtypes/generic.py:7(_check)
      939    0.002    0.000    0.006    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/numpy/core/_dtype.py:319(_name_get)
     5939    0.006    0.000    0.006    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:1383(__getitem__)
     5504    0.002    0.000    0.006    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:294(<genexpr>)
      914    0.000    0.000    0.006    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/pandas/core/indexing.py:2553(is_list_like_indexer)
      457    0.001    0.000    0.006    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/pandas/core/indexes/numeric.py:179(_convert_scalar_indexer)
       10    0.000    0.000    0.006    0.001 /anaconda3/envs/link/lib/python3.6/site-packages/pandas/core/frame.py:713(iteritems)
      469    0.001    0.000    0.005    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/pandas/core/indexes/base.py:3071(get_loc)
     1838    0.005    0.000    0.005    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:3183(value_types)
      461    0.001    0.000    0.005    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/pandas/core/dtypes/common.py:1629(is_extension_type)
     4496    0.005    0.000    0.005    0.000 /anaconda3/envs/link/lib/python3.6/json/encoder.py:223(floatstr)
      457    0.000    0.000    0.005    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/pandas/core/generic.py:164(_validate_dtype)
     8219    0.004    0.000    0.005    0.000 /anaconda3/envs/link/lib/python3.6/_collections_abc.py:676(items)
     5506    0.004    0.000    0.005    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:283(adj)
     2752    0.003    0.000    0.005    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:370(__getitem__)
     1371    0.001    0.000    0.005    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/pandas/core/series.py:476(get_values)
     3672    0.005    0.000    0.005    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:552(value_type)
     2792    0.002    0.000    0.004    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/numpy/core/numerictypes.py:293(issubclass_)
    30650    0.004    0.000    0.004    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geos.py:545(errcheck_predicate)
     1828    0.001    0.000    0.004    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/pandas/core/generic.py:390(_get_axis)
     1401    0.001    0.000    0.004    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/pandas/core/dtypes/common.py:122(is_sparse)
    30238    0.004    0.000    0.004    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:45(__init__)
   294/90    0.000    0.000    0.004    0.000 /anaconda3/envs/link/lib/python3.6/typing.py:1145(__subclasscheck__)
    38620    0.004    0.000    0.004    0.000 {method 'items' of 'dict' objects}
     7665    0.004    0.000    0.004    0.000 {built-in method builtins.hasattr}
    29655    0.004    0.000    0.004    0.000 {method 'add' of 'set' objects}
        5    0.000    0.000    0.004    0.001 /anaconda3/envs/link/lib/python3.6/site-packages/pandas/core/internals.py:4869(create_block_manager_from_arrays)
     2751    0.004    0.000    0.004    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:1376(__init__)
     1371    0.002    0.000    0.004    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/pandas/core/internals.py:4752(get_values)
        1    0.000    0.000    0.004    0.004 /anaconda3/envs/link/lib/python3.6/site-packages/rpy2/robjects/pandas2ri.py:188(ri2py_dataframe)
    25175    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
        2    0.000    0.000    0.004    0.002 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/algorithms/components/connected.py:27(connected_components)
        1    0.000    0.000    0.004    0.004 /anaconda3/envs/link/lib/python3.6/site-packages/graph_tool/__init__.py:512(copy)
     2753    0.002    0.000    0.004    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:291(__iter__)
