         1897998 function calls (1660241 primitive calls) in 2.746 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.004    0.004    2.746    2.746 /Users/fkauker/Documents/code/test_data/solve.py:55(main)
        1    0.000    0.000    2.332    2.332 /Users/fkauker/Documents/code/link/link/solve/main.py:22(run_pcst)
        1    0.052    0.052    1.916    1.916 /Users/fkauker/Documents/code/link/link/solve/util.py:26(geojson_to_graph)
        3    0.079    0.026    1.403    0.468 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:422(add_edges_from)
        1    0.000    0.000    1.110    1.110 /Users/fkauker/Documents/code/link/link/solve/util.py:76(<listcomp>)
        2    0.000    0.000    1.110    0.555 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/algorithms/components/connected.py:78(connected_component_subgraphs)
        1    0.000    0.000    1.100    1.100 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:864(copy)
    35308    0.065    0.000    0.979    0.000 /anaconda3/envs/link/lib/python3.6/_collections_abc.py:742(__iter__)
     4171    0.029    0.000    0.970    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:947(<genexpr>)
     6227    0.019    0.000    0.798    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:356(__iter__)
     6227    0.763    0.000    0.763    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:358(<genexpr>)
        1    0.046    0.046    0.378    0.378 /anaconda3/envs/link/lib/python3.6/json/__init__.py:120(dump)
    97068    0.028    0.000    0.291    0.000 /anaconda3/envs/link/lib/python3.6/json/encoder.py:412(_iterencode)
        1    0.000    0.000    0.291    0.291 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:953(to_directed)
259874/97068    0.119    0.000    0.263    0.000 /anaconda3/envs/link/lib/python3.6/json/encoder.py:333(_iterencode_dict)
131494/97060    0.072    0.000    0.234    0.000 /anaconda3/envs/link/lib/python3.6/json/encoder.py:277(_iterencode_list)
     4170    0.004    0.000    0.229    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/linestring.py:29(__init__)
     4170    0.005    0.000    0.225    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/linestring.py:95(_set_coords)
     4170    0.183    0.000    0.212    0.000 {shapely.speedups._speedups.geos_linestring_from_py}
52972/12456    0.084    0.000    0.191    0.000 /anaconda3/envs/link/lib/python3.6/copy.py:132(deepcopy)
     4171    0.022    0.000    0.150    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:1002(<genexpr>)
        1    0.000    0.000    0.137    0.137 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multidigraph.py:864(to_undirected)
    12456    0.037    0.000    0.127    0.000 /anaconda3/envs/link/lib/python3.6/copy.py:236(_deepcopy_dict)
        1    0.013    0.013    0.120    0.120 /Users/fkauker/Documents/code/link/link/solve/util.py:256(create_geojson)
        1    0.024    0.024    0.118    0.118 /Users/fkauker/Documents/code/link/link/solve/util.py:81(make_prox_graph)
        1    0.000    0.000    0.095    0.095 /Users/fkauker/Documents/code/link/link/solve/pcst.py:10(solve)
    12510    0.067    0.000    0.090    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multidigraph.py:337(add_edge)
        1    0.054    0.054    0.083    0.083 /Users/fkauker/Documents/code/link/link/solve/util.py:220(match_solution)
        3    0.020    0.007    0.073    0.024 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/graph.py:487(add_nodes_from)
     3131    0.036    0.000    0.068    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/coords.py:69(__getitem__)
    12510    0.023    0.000    0.065    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/graph.py:416(__getitem__)
        1    0.010    0.010    0.055    0.055 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/digraph.py:421(add_nodes_from)
     3032    0.004    0.000    0.049    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/point.py:37(__init__)
     4171    0.007    0.000    0.048    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multidigraph.py:928(<genexpr>)
     9285    0.008    0.000    0.044    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/base.py:233(__del__)
     3032    0.007    0.000    0.044    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/point.py:127(_set_coords)
    23689    0.043    0.000    0.043    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/base.py:222(empty)
     2058    0.002    0.000    0.043    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:1001(<genexpr>)
    97067    0.041    0.000    0.041    0.000 {method 'write' of '_io.TextIOWrapper' objects}
   140705    0.040    0.000    0.040    0.000 {built-in method builtins.isinstance}
        1    0.038    0.038    0.039    0.039 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/graph.py:887(add_edges_from)
    12513    0.032    0.000    0.038    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/reportviews.py:805(<genexpr>)
   129569    0.038    0.000    0.038    0.000 {method 'get' of 'dict' objects}
    25782    0.028    0.000    0.035    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/graph.py:628(nodes)
     2058    0.002    0.000    0.034    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multidigraph.py:920(<genexpr>)
     3131    0.005    0.000    0.033    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/base.py:320(_get_coords)
    70231    0.031    0.000    0.031    0.000 {method 'update' of 'dict' objects}
     3032    0.028    0.000    0.031    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/point.py:191(geos_point_from_py)
     8340    0.025    0.000    0.031    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:331(add_edge)
    12510    0.023    0.000    0.031    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:389(edge_ok)
     3131    0.008    0.000    0.025    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/base.py:640(is_empty)
     8340    0.007    0.000    0.024    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:372(new_node_ok)
    12456    0.019    0.000    0.024    0.000 /anaconda3/envs/link/lib/python3.6/copy.py:252(_keep_alive)
    16624    0.018    0.000    0.022    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:102(__getitem__)
     6227    0.011    0.000    0.022    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:296(__getitem__)
    16680    0.017    0.000    0.022    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:81(__getitem__)
     9392    0.021    0.000    0.021    0.000 /anaconda3/envs/link/lib/python3.6/json/encoder.py:223(floatstr)
        1    0.000    0.000    0.020    0.020 /anaconda3/envs/link/lib/python3.6/json/__init__.py:274(load)
     4171    0.009    0.000    0.019    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:291(__iter__)
        1    0.000    0.000    0.019    0.019 /anaconda3/envs/link/lib/python3.6/json/__init__.py:302(loads)
        1    0.000    0.000    0.019    0.019 /anaconda3/envs/link/lib/python3.6/json/decoder.py:334(decode)
     8340    0.005    0.000    0.019    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:294(<genexpr>)
        1    0.019    0.019    0.019    0.019 /anaconda3/envs/link/lib/python3.6/json/decoder.py:345(raw_decode)
   105996    0.019    0.000    0.019    0.000 {built-in method builtins.id}
     3131    0.010    0.000    0.018    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/coords.py:48(__len__)
     8340    0.018    0.000    0.018    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:302(new_edge_key)
     4170    0.012    0.000    0.018    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:370(__getitem__)
    12457    0.013    0.000    0.018    0.000 /anaconda3/envs/link/lib/python3.6/_collections_abc.py:676(items)
     2057    0.012    0.000    0.017    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:387(__getitem__)
        1    0.016    0.016    0.016    0.016 {built-in method pcst_fast.pcst_fast}
     6262    0.015    0.000    0.016    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/coords.py:44(_update)
     8342    0.011    0.000    0.016    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:283(adj)
     1566    0.015    0.000    0.015    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/reportviews.py:1024(__iter__)
     2058    0.002    0.000    0.015    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multigraph.py:946(<genexpr>)
    45819    0.014    0.000    0.014    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:45(__init__)
     3131    0.010    0.000    0.014    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/predicates.py:23(__call__)
     9269    0.013    0.000    0.013    0.000 {built-in method builtins.hasattr}
    48336    0.012    0.000    0.012    0.000 {method 'items' of 'dict' objects}
        1    0.002    0.002    0.011    0.011 /Users/fkauker/Documents/code/link/link/solve/pcst.py:21(<listcomp>)
        1    0.001    0.001    0.011    0.011 /Users/fkauker/Documents/code/link/link/solve/pcst.py:17(<listcomp>)
     7202    0.007    0.000    0.010    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/base.py:257(_geom)
    20794    0.010    0.000    0.010    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/filters.py:58(__call__)
     4170    0.007    0.000    0.009    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/multidigraph.py:285(adj)
        2    0.001    0.001    0.008    0.004 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/algorithms/components/connected.py:27(connected_components)
     1565    0.007    0.000    0.008    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/graph.py:823(add_edge)
    13964    0.008    0.000    0.008    0.000 {method 'copy' of 'dict' objects}
    26616    0.008    0.000    0.008    0.000 {built-in method _json.encode_basestring_ascii}
        1    0.004    0.004    0.008    0.008 /Users/fkauker/Documents/code/link/link/solve/pcst.py:20(<listcomp>)
    40516    0.008    0.000    0.008    0.000 /anaconda3/envs/link/lib/python3.6/copy.py:190(_deepcopy_atomic)
    25776    0.007    0.000    0.007    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/reportviews.py:177(__getitem__)
     2058    0.002    0.000    0.007    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/algorithms/components/connected.py:199(_plain_bfs)
    25782    0.007    0.000    0.007    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/reportviews.py:167(__init__)
     8285    0.004    0.000    0.007    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:51(__iter__)
    16680    0.006    0.000    0.006    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:54(__getitem__)
    12457    0.005    0.000    0.005    0.000 /anaconda3/envs/link/lib/python3.6/_collections_abc.py:698(__init__)
23174/23173    0.005    0.000    0.005    0.000 {built-in method builtins.len}
     1566    0.004    0.000    0.005    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/reportviews.py:717(__iter__)
        3    0.004    0.001    0.004    0.001 {built-in method numpy.array}
    18771    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
    15655    0.004    0.000    0.004    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/geometry/base.py:253(_geom)
     4171    0.003    0.000    0.003    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:284(__init__)
     1950    0.003    0.000    0.003    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/digraph.py:375(add_node)
     2058    0.003    0.000    0.003    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:327(<genexpr>)
    12523    0.003    0.000    0.003    0.000 {built-in method _ctypes.byref}
     3131    0.002    0.000    0.003    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/shapely/topology.py:16(_validate)
     2058    0.003    0.000    0.003    0.000 /anaconda3/envs/link/lib/python3.6/site-packages/networkx/classes/coreviews.py:317(__init__)
     8291    0.003    0.000    0.003    0.000 {built-in method builtins.iter}
